0x3105 0x3127 0x311d;bie
0x3105 0x3127 0x3120;biao
0x3105 0x3127 0x3122;bian
0x3105 0x3127 0x3123;bin
0x3105 0x3127 0x3125;bing
0x3106 0x3127 0x311d;pie
0x3106 0x3127 0x3120;piao
0x3106 0x3127 0x3122;pian
0x3106 0x3127 0x3123;pin
0x3106 0x3127 0x3125;ping
0x3107 0x3127 0x311d;mie
0x3107 0x3127 0x3120;miao
0x3107 0x3127 0x3121;miu
0x3107 0x3127 0x3122;mian
0x3107 0x3127 0x3123;min
0x3107 0x3127 0x3125;ming
0x3109 0x3127 0x311d;die
0x3109 0x3127 0x3120;diao
0x3109 0x3127 0x3121;diu
0x3109 0x3127 0x3122;dian
0x3109 0x3127 0x3125;ding
0x3109 0x3128 0x311b;duo
0x3109 0x3128 0x311f;dui
0x3109 0x3128 0x3122;duan
0x3109 0x3128 0x3123;dun
0x3109 0x3128 0x3125;dong
0x310a 0x3127 0x311d;tie
0x310a 0x3127 0x3120;tiao
0x310a 0x3127 0x3122;tian
0x310a 0x3127 0x3125;ting
0x310a 0x3128 0x311b;tuo
0x310a 0x3128 0x311f;tui
0x310a 0x3128 0x3122;tuan
0x310a 0x3128 0x3123;tun
0x310a 0x3128 0x3125;tong
0x310b 0x3127 0x311d;nie
0x310b 0x3127 0x3120;niao
0x310b 0x3127 0x3121;niu
0x310b 0x3127 0x3122;nian
0x310b 0x3127 0x3123;nin
0x310b 0x3127 0x3124;niang
0x310b 0x3127 0x3125;ning
0x310b 0x3128 0x311b;nuo
0x310b 0x3128 0x3122;nuan
0x310b 0x3128 0x3125;nong
0x310b 0x3129 0x311d;nue
0x310c 0x3127 0x311d;lie
0x310c 0x3127 0x3120;liao
0x310c 0x3127 0x3121;liu
0x310c 0x3127 0x3122;lian
0x310c 0x3127 0x3123;lin
0x310c 0x3127 0x3124;liang
0x310c 0x3127 0x3125;ling
0x310c 0x3128 0x311b;luo
0x310c 0x3128 0x3122;luan
0x310c 0x3128 0x3123;lun
0x310c 0x3128 0x3125;long
0x310c 0x3129 0x311d;lue
0x310d 0x3128 0x311a;gua
0x310d 0x3128 0x311b;guo
0x310d 0x3128 0x311e;guai
0x310d 0x3128 0x311f;gui
0x310d 0x3128 0x3122;guan
0x310d 0x3128 0x3123;gun
0x310d 0x3128 0x3124;guang
0x310d 0x3128 0x3125;gong
0x310e 0x3128 0x311a;kua
0x310e 0x3128 0x311b;kuo
0x310e 0x3128 0x311e;kuai
0x310e 0x3128 0x311f;kui
0x310e 0x3128 0x3122;kuan
0x310e 0x3128 0x3123;kun
0x310e 0x3128 0x3124;kuang
0x310e 0x3128 0x3125;kong
0x310f 0x3128 0x311a;hua
0x310f 0x3128 0x311b;huo
0x310f 0x3128 0x311e;huai
0x310f 0x3128 0x311f;hui
0x310f 0x3128 0x3122;huan
0x310f 0x3128 0x3123;hun
0x310f 0x3128 0x3124;huang
0x310f 0x3128 0x3125;hong
0x3110 0x3127 0x311a;jia
0x3110 0x3127 0x311d;jie
0x3110 0x3127 0x3120;jiao
0x3110 0x3127 0x3121;jiu
0x3110 0x3127 0x3122;jian
0x3110 0x3127 0x3123;jin
0x3110 0x3127 0x3124;jiang
0x3110 0x3127 0x3125;jing
0x3110 0x3129 0x311d;jue
0x3110 0x3129 0x3122;juan
0x3110 0x3129 0x3123;jun
0x3110 0x3129 0x3125;jiong
0x3111 0x3127 0x311a;qia
0x3111 0x3127 0x311d;qie
0x3111 0x3127 0x3120;qiao
0x3111 0x3127 0x3121;qiu
0x3111 0x3127 0x3122;qian
0x3111 0x3127 0x3123;qin
0x3111 0x3127 0x3124;qiang
0x3111 0x3127 0x3125;qing
0x3111 0x3129 0x311d;que
0x3111 0x3129 0x3122;quan
0x3111 0x3129 0x3123;qun
0x3111 0x3129 0x3125;qiong
0x3112 0x3127 0x311a;xia
0x3112 0x3127 0x311d;xie
0x3112 0x3127 0x3120;xiao
0x3112 0x3127 0x3121;xiu
0x3112 0x3127 0x3122;xian
0x3112 0x3127 0x3123;xin
0x3112 0x3127 0x3124;xiang
0x3112 0x3127 0x3125;xing
0x3112 0x3129 0x311d;xue
0x3112 0x3129 0x3122;xuan
0x3112 0x3129 0x3123;xun
0x3112 0x3129 0x3125;xiong
0x3113 0x3128 0x311a;zhua
0x3113 0x3128 0x311b;zhuo
0x3113 0x3128 0x311e;zhuai
0x3113 0x3128 0x311f;zhui
0x3113 0x3128 0x3122;zhuan
0x3113 0x3128 0x3123;zhun
0x3113 0x3128 0x3124;zhuang
0x3113 0x3128 0x3125;zhong
0x3114 0x3128 0x311b;chuo
0x3114 0x3128 0x311e;chuai
0x3114 0x3128 0x311f;chui
0x3114 0x3128 0x3122;chuan
0x3114 0x3128 0x3123;chun
0x3114 0x3128 0x3124;chuang
0x3114 0x3128 0x3125;chong
0x3115 0x3128 0x311a;shua
0x3115 0x3128 0x311b;shuo
0x3115 0x3128 0x311e;shuai
0x3115 0x3128 0x311f;shui
0x3115 0x3128 0x3122;shuan
0x3115 0x3128 0x3123;shun
0x3115 0x3128 0x3124;shuang
0x3116 0x3128 0x311b;ruo
0x3116 0x3128 0x311f;rui
0x3116 0x3128 0x3122;ruan
0x3116 0x3128 0x3123;run
0x3116 0x3128 0x3125;rong
0x3117 0x3128 0x311b;zuo
0x3117 0x3128 0x311f;zui
0x3117 0x3128 0x3122;zuan
0x3117 0x3128 0x3123;zun
0x3117 0x3128 0x3125;zong
0x3118 0x3128 0x311b;cuo
0x3118 0x3128 0x311f;cui
0x3118 0x3128 0x3122;cuan
0x3118 0x3128 0x3123;cun
0x3118 0x3128 0x3125;cong
0x3119 0x3128 0x311b;suo
0x3119 0x3128 0x311f;sui
0x3119 0x3128 0x3122;suan
0x3119 0x3128 0x3123;sun
0x3119 0x3128 0x3125;song
0x3105 0x311a;ba
0x3105 0x311b;bo
0x3105 0x311e;bai
0x3105 0x311f;bei
0x3105 0x3120;bao
0x3105 0x3122;ban
0x3105 0x3123;ben
0x3105 0x3124;bang
0x3105 0x3125;beng
0x3105 0x3127;bi
0x3105 0x3128;bu
0x3106 0x311a;pa
0x3106 0x311b;po
0x3106 0x311e;pai
0x3106 0x311f;pei
0x3106 0x3120;pao
0x3106 0x3121;pou
0x3106 0x3122;pan
0x3106 0x3123;pen
0x3106 0x3124;pang
0x3106 0x3125;peng
0x3106 0x3127;pi
0x3106 0x3128;pu
0x3107 0x311a;ma
0x3107 0x311b;mo
0x3107 0x311c;me
0x3107 0x311e;mai
0x3107 0x311f;mei
0x3107 0x3120;mao
0x3107 0x3121;mou
0x3107 0x3122;man
0x3107 0x3123;men
0x3107 0x3124;mang
0x3107 0x3125;meng
0x3107 0x3127;mi
0x3107 0x3128;mu
0x3108 0x311a;fa
0x3108 0x311b;fo
0x3108 0x311f;fei
0x3108 0x3121;fou
0x3108 0x3122;fan
0x3108 0x3123;fen
0x3108 0x3124;fang
0x3108 0x3125;feng
0x3108 0x3128;fu
0x3109 0x311a;da
0x3109 0x311c;de
0x3109 0x311e;dai
0x3109 0x3120;dao
0x3109 0x3121;dou
0x3109 0x3122;dan
0x3109 0x3124;dang
0x3109 0x3125;deng
0x3109 0x3127;di
0x3109 0x3128;du
0x310a 0x311a;ta
0x310a 0x311c;te
0x310a 0x311e;tai
