// ------------------------------------------------------------------------- 
// 文件                 头标志    命令类型     地址        数据长度    CRC   
// ------------------------------------------------------------------------- 
   bootrom              0x1616    0x5050     0x00000000    0x00010000 
   sysapb               0x1616    0x5050     0x00000000    0x00010000 
   bbsram               0x1616    0x5050     0x40080000    0x00020000 
   bbrom                0x1616    0x5050     0x400A0000    0x00030000 
   psram                0x1616    0x5050     0x80000000    0x01000000 
   flash                0x1616    0x5050     0x00000000    0x00010000 
   bbapb                0x1616    0x5050     0x40000000    0x00020000 
   sysram               0x1616    0x5050     0x00800000    0x00078000 
   rfadram              0x1616    0x5050     0x25100000    0x00003000 
   txrx                 0x1616    0x5050     0x25000000    0x00020000 
   measpwr              0x1616    0x5050     0x25500000    0x000A0000 
   iddet                0x1616    0x5050     0x25600000    0x0000C000 
   dlfft                0x1616    0x5050     0x25A00000    0x00016000 
   uldft                0x1616    0x5050     0x25700000    0x00003400 
   ldtc                 0x1616    0x5050     0x25300000    0x00024000 
   coeff                0x1616    0x5050     0x25200000    0x00000200 
   pusch                0x1616    0x5050     0x25800000    0x00038000 
   ldtc1                0x1616    0x5050     0x26000000    0x00700200 
   rxcap                0x1616    0x5050     0x27000000    0x00017000 
   otdoa                0x1616    0x5050     0x25400000    0x00060000 
   ulpcdci              0x1616    0x5050     0x25900000    0x00000200 
   csirs                0x1616    0x5050     0x25B00000    0x0000D000 
   f8                   0x1616    0x5050     0x09000000    0x00000200 
   irq                  0x1616    0x5050     0x08800000    0x00000200 
   zaxidma              0x1616    0x5050     0x22000000    0x00000400 
   axidma               0x1616    0x5050     0x090c0000    0x00000400 
   phygdrx              0x1616    0x5050     0x81300000    0x00D00000 
   riscv                0x1616    0x5050     0x50000000    0x0000C000 
   rfreg                0x1616    0x5050     0x50030000    0x00005100
